"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"343","Cameron Artis-Payne","","","RB92","","","","285","","","285.0"
"344","John Conner","","","RB93","","286","","","","","286.0"
"345","Travaris Cadet","","","RB94","","","","286","","","286.0"
"346","Trent Taylor","CIN","9","WR116","","322","","309","","","315.5"
"347","Chester Rogers","","","WR117","","","","287","","","287.0"
"348","Keke Coutee","IND","9","WR118","","","","288","","","288.0"
"349","Cody Parkey","","","K28","","289","","392","","","340.5"
"350","Shane Vereen","","","RB95","","291","","","","","291.0"
"351","Garrett Celek","","","TE46","","","","293","","","293.0"
"352","Christine Michael","","","RB96","","298","","341","","","319.5"
"353","Stevan Ridley","","","RB97","","324","","315","","","319.5"
"354","Brice Butler","","","WR119","","","","296","","","296.0"
"355","Matt Barkley","BUF","11","QB37","","","","297","","","297.0"
"356","Jeremy Maclin ","","","WR120","","","","300","","","300.0"
"357","Chandler Catanzaro","","","K29","","300","","414","","","357.0"
"358","Charles Sims","","","RB98","","","","302","","","302.0"
"359","Phillip Lindsay","","","RB99","","303","","344","","","323.5"
"360","J.D. McKissic","WAS","4","RB100","","323","","325","","","324.0"
"361","Aldrick Rosas","","","K30","","304","","357","","","330.5"
"362","New York Jets","DST","11","DST29","","306","","","","","306.0"
"363","Jonnu Smith","NE","11 ","TE47","","","","306","","","306.0"
"364","Jacoby Brissett","CLE","11","QB38","","","","307","","","307.0"
"365","Josh McCown","","","QB39","","","","308","","","308.0"
"366","DeAndre Washington","","","RB101","","309","","401","","","355.0"
"367","AJ McCarron","","","QB40","","","","312","","","312.0"
"368","Miami Dolphins","DST","11","DST30","","313","","","","","313.0"
"369","Kenny Britt","","","WR121","","","","314","","","314.0"
"370","Jacquizz Rodgers","","","RB102","","","","316","","","316.0"
"371","Ryan Fitzpatrick","","","QB41","","","","317","","","317.0"
"372","Dwayne Allen","","","TE48","","","","318","","","318.0"
"373","Robert Turbin ","","","RB103","","","","320","","","320.0"
"374","Kyle Juszczyk","SF","11","RB104","","320","","422","","","371.0"
"375","Brandon LaFell ","","","WR122","","","","321","","","321.0"
"376","Brian Hoyer","NE","11","QB42","","","","323","","","323.0"
"377","Las Vegas Raiders","DST","","DST31","","325","","","","","325.0"
"378","Steven Jackson","","","RB105","","","","326","","","326.0"
"379","Tyler Higbee","LAR","12","TE49","","326","","385","","","355.5"
"380","Marcus Murphy ","","","RB106","","327","","366","","","346.5"
"381","Peyton Hillis","","","RB107","","","","328","","","328.0"
"382","Orleans Darkwa","","","RB108","","","","329","","","329.0"
"383","Jordan Akins","HOU","10","TE50","","329","","356","","","342.5"
"384","Mark Walton","","","RB109","","","","330","","","330.0"
"385","Michael Roberts","","","TE51","","","","331","","","331.0"
"386","Chad Williams","","","WR123","","","","332","","","332.0"
"387","Cody Latimer","","","WR124","","","","333","","","333.0"
"388","Tyler Ervin","","","RB110","","","","334","","","334.0"
"389","Jordan Leggett","","","TE52","","","","336","","","336.0"
"390","Xavier Grimble","","","TE53","","","","337","","","337.0"
"391","Chris Johnson ","","","RB111","","","","338","","","338.0"
"392","Wes Welker","","","WR125","","","","340","","","340.0"
"393","Jeff Heuerman ","","","TE54","","340","","395","","","367.5"
"394","Brock Osweiler","","","QB43","","","","342","","","342.0"
"395","Dennis Pitta","","","TE55","","","","345","","","345.0"
"396","","","","1","","","","346","","","346.0"
"397","Randy Moss","","","WR126","","","","347","","","347.0"
"398","Tajae Sharpe","","","WR127","","","","348","","","348.0"
"399","Tony Romo","","","QB44","","","","349","","","349.0"
"400","Knowshon Moreno","","","RB112","","","","350","","","350.0"
"401","Marques Colston","","","WR128","","","","351","","","351.0"
"402","Akeem Hunt","","","RB113","","","","352","","","352.0"
"403","Malcolm Mitchell","","","WR129","","","","353","","","353.0"
"404","Kendall Wright","","","WR130","","","","358","","","358.0"
"405","Coby Fleener","","","TE56","","","","360","","","360.0"
"406","Rashard Higgins","CAR","4","WR131","","","","361","","","361.0"
"407","Damoun Patterson","","","WR132","","","","362","","","362.0"
"408","Landry Jones","","","QB45","","","","364","","","364.0"
"409","Thomas Rawls","","","RB114","","","","365","","","365.0"
"410","Trenton Cannon","TEN","8","RB115","","","","367","","","367.0"
"411","Clive Walford","","","TE57","","","","368","","","368.0"
"412","Marcedes Lewis","GB","7","TE58","","","","373","","","373.0"
"413","C.J. Beathard","JAC","9","QB46","","","","374","","","374.0"
"414","Tommylee Lewis","","","WR133","","","","375","","","375.0"
"415","Equanimeous St. Brown","CHI","5","WR134","","","","376","","","376.0"
"416","Justin Hardy","","","WR135","","","","377","","","377.0"
"417","Teddy Bridgewater","MIA","11","QB47","","","","378","","","378.0"
"418","Justin Watson","KC","12","WR136","","","","379","","","379.0"
"419","Johnny Manziel","","","QB48","","","","380","","","380.0"
"420","Mike Boone","DEN","10","RB116","","","","382","","","382.0"
